Type,From,To,R,X,C,tap,phase,Smax,Imax,Pmax,Qmax,Vargmax,MidXaxis,MidYaxis,Marker
pi,1,2,0,0.05917,0.0528,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.23,0.36]","[0.5,0.33]",-
pi,1,5,0,0.22304,0.0492,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.28,0.35,0.54]","[0.5, 0.42,0.42]",-
pi,2,3,0,0.19797,0.0438,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.45,0.76]","[0.255,0.255]",-
pi,2,4,0,0.17632,0.0374,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.45,0.775]","[0.32,0.45]",-
pi,2,5,0,0.17388,0.034,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.415,0.56]","[0.34,0.4]",-
pi,3,4,0,0.17103,0.0346,1,0,Inf,Inf,Inf,Inf,1.570796327,[0.8],[0.4],-
pi,4,5,0,0.04211,0.0128,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.74,0.58]","[0.465,0.40]",-
pi,6,11,0,0.1989,0,1,0,Inf,Inf,Inf,Inf,1.570796327,[0.595],[0.7],-
pi,6,12,0,0.25581,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.545,0.38]","[0.63,0.78]",-
pi,6,13,0,0.13027,0,1,0,Inf,Inf,Inf,Inf,1.570796327,[0.57],[0.7],-
pi,7,9,0,0.11001,0,1,0,Inf,Inf,Inf,Inf,1.570796327,[0.81],[0.65],-
pi,9,10,0,0.0845,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.765,0.71]","[0.7,0.7]",-
pi,9,14,0,0.27038,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.8,0.7]","[0.75,0.78]",-
pi,10,11,0,0.19207,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.69,0.63]","[0.7,0.7]",-
pi,12,13,0,0.19988,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.41,0.54]","[0.78,0.78]",-
pi,13,14,0,0.34802,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.59,0.69]","[0.81,0.78]",-
two_winding_transformer,4,7,0,0.20912,0,0.978,0,Inf,Inf,Inf,Inf,1.570796327,[0.815],[0.6],oo-
two_winding_transformer,4,9,0,0.55618,0,0.969,0,Inf,Inf,Inf,Inf,1.570796327,[0.75],[0.6],oo-
two_winding_transformer,5,6,0,0.25202,0,0.932,0,Inf,Inf,Inf,Inf,1.570796327,[0.57],[0.55],oo-
two_winding_transformer,7,8,0,0.17615,0,1,0,Inf,Inf,Inf,Inf,1.570796327,[0.83],[0.655],oo-
