Tag,V,Varg,baseKV,baseMVA,Vmin,Vmax,Gshunt,Bshunt,Xaxis,Yaxis,Marker
B,1.06,0,230,100,0.5,1.5,0,0,0.2,0.55,_12
B,1.045,0,230,100,0.5,1.5,0,0,0.45,0.25,_16
B,1.01,0,230,100,0.5,1.5,0,0,0.85,0.15,_8
B,1,0,230,100,0.5,1.5,0,0,0.8,0.55,_16
B,1,0,230,100,0.5,1.5,0,0,0.6,0.45,_6
B,1.07,0,230,100,0.5,1.5,0,0,0.6,0.65,_10
B,1,0,230,100,0.5,1.5,0,0,0.88,0.625,_6
B,1.09,0,230,100,0.5,1.5,0,0,0.94,0.625,|6
B,1,0,230,100,0.5,1.5,0,0.19,0.8,0.7,_20
B,1,0,230,100,0.5,1.5,0,0,0.72,0.78,_6
B,1,0,230,100,0.5,1.5,0,0,0.63,0.82,_6
B,1,0,230,100,0.5,1.5,0,0,0.42,0.85,_8
B,1,0,230,100,0.5,1.5,0,0,0.58,0.95,_10
B,1,0,230,100,0.5,1.5,0,0,0.75,0.88,_8
