Bus,P,Q,baseMVA,Pmin,Pmax,Qmin,Qmax,Xaxis,Yaxis,Marker,MidXaxis,MidYaxis,BusPoint,ParameterID,OpfID
2,-0.217,0.127,100,#NAME?,Inf,#NAME?,Inf,0.38,0.2,o,,,0.5,1,1
3,-0.942,0.19,100,#NAME?,Inf,#NAME?,Inf,0.95,0.1,o,,,0.5,2,1
4,-0.478,0.039,100,#NAME?,Inf,#NAME?,Inf,0.88,0.5,o,,,0.5,3,1
5,-0.076,0.016,100,#NAME?,Inf,#NAME?,Inf,0.52,0.48,o,,,0.5,4,1
6,-0.112,0.075,100,#NAME?,Inf,#NAME?,Inf,0.68,0.65,o,,,0.5,5,1
7,0,0,100,#NAME?,Inf,#NAME?,Inf,0.85,0.4,o,,,0.5,6,1
9,-0.295,0.166,100,#NAME?,Inf,#NAME?,Inf,0.88,0.72,o,,,0.5,7,1
10,-0.09,0.058,100,#NAME?,Inf,#NAME?,Inf,0.72,0.85,o,,,0.5,8,1
11,-0.035,0.018,100,#NAME?,Inf,#NAME?,Inf,0.63,0.88,o,,,0.5,9,1
12,-0.061,0.016,100,#NAME?,Inf,#NAME?,Inf,0.42,0.92,o,,,0.5,10,1
13,-0.135,0.058,100,#NAME?,Inf,#NAME?,Inf,0.58,1.02,o,,,0.5,11,1
14,-0.149,0.05,100,#NAME?,Inf,#NAME?,Inf,0.75,0.95,o,,,0.5,12,1
