V,Varg,Gshunt,Bshunt,Vmin,Vmax,baseKV,baseMVA,Tag,Xaxis,Yaxis,Marker
1.06,0,0,0,0.5,1.5,230,100,B,0.2,0.55,_12
1.045,0,0,0,0.5,1.5,230,100,B,0.45,0.25,_16
1.01,0,0,0,0.5,1.5,230,100,B,0.85,0.15,_8
1,0,0,0,0.5,1.5,230,100,B,0.8,0.55,_16
1,0,0,0,0.5,1.5,230,100,B,0.6,0.45,_6
1.07,0,0,0,0.5,1.5,230,100,B,0.6,0.65,_10
1,0,0,0,0.5,1.5,230,100,B,0.88,0.625,_6
1.09,0,0,0,0.5,1.5,230,100,B,0.94,0.625,|6
1,0,0,0.19,0.5,1.5,230,100,B,0.8,0.7,_20
1,0,0,0,0.5,1.5,230,100,B,0.72,0.78,_6
1,0,0,0,0.5,1.5,230,100,B,0.63,0.82,_6
1,0,0,0,0.5,1.5,230,100,B,0.42,0.85,_8
1,0,0,0,0.5,1.5,230,100,B,0.58,0.95,_10
1,0,0,0,0.5,1.5,230,100,B,0.75,0.88,_8
