Bus,P,Q,ParameterID,OpfID,Xaxis,Yaxis,Marker,BusPoint,MidXaxis,MidYaxis
2,-0.217,0.127,1,1,0.38,0.2,v,0.5,[],[]
3,-0.942,0.19,2,1,0.95,0.1,v,0.5,[],[]
4,-0.478,0.039,3,1,0.88,0.5,v,0.5,[],[]
5,-0.076,0.016,4,1,0.52,0.48,v,0.5,[],[]
6,-0.112,0.075,5,1,0.68,0.65,v,0.5,[],[]
7,0,0,6,1,0.85,0.4,v,0.5,[],[]
9,-0.295,0.166,7,1,0.88,0.72,v,0.5,[],[]
10,-0.09,0.058,8,1,0.72,0.85,^,0.5,[],[]
11,-0.035,0.018,9,1,0.63,0.88,^,0.5,[],[]
12,-0.061,0.016,10,1,0.42,0.92,^,0.5,[],[]
13,-0.135,0.058,11,1,0.58,1.02,^,0.5,[],[]
14,-0.149,0.05,12,1,0.75,0.95,^,0.5,[],[]
