Type,From,To,R,X,C,tap,phase,Smax,Imax,Pmax,Qmax,Vargmax,MidXaxis,MidYaxis,Marker,BusFromPoint,BusToPoint
pi,1,2,0.01938,0.05917,0.0528,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.15,0.36]","[0.53,0.33]",-,0.11,0.15
pi,1,5,0.05403,0.22304,0.0492,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.22,0.51,0.545]","[0.53, 0.44,0.44]",-,0.85,0.25
pi,2,3,0.04699,0.19797,0.0438,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.45,0.76]","[0.255,0.215]",-,0.83,0.23
pi,2,4,0.05811,0.17632,0.0374,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.45,0.775]","[0.32,0.53]",-,0.85,0.48
pi,2,5,0.05695,0.17388,0.034,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.415,0.56]","[0.32,0.42]",-,0.58,0.5
pi,3,4,0.06701,0.17103,0.0346,1,0,Inf,Inf,Inf,Inf,1.570796327,,,-,0.75,0.67
pi,4,5,0.01335,0.04211,0.0128,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.74,0.575]","[0.535,0.425]",-,0.16,0.75
pi,6,11,0.09498,0.1989,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.585,0.605]","[0.63,0.71]",-,0.57,0.35
pi,6,12,0.12291,0.25581,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.545,0.38]","[0.63,0.78]",-,0.2,0.265
pi,6,13,0.06615,0.13027,0,1,0,Inf,Inf,Inf,Inf,1.570796327,,,-,0.35,0.5
pi,7,9,0,0.11001,0,1,0,Inf,Inf,Inf,Inf,1.570796327,,,-,0.5,0.78
pi,9,10,0.03181,0.0845,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.765,0.71]","[0.695,0.705]",-,0.45,0.7
pi,9,14,0.12711,0.27038,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.795,0.705]","[0.715,0.76]",-,0.62,0.55
pi,10,11,0.08205,0.19207,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.69,0.63]","[0.7,0.71]",-,0.35,0.7
pi,12,13,0.22092,0.19988,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.41,0.44,0.54]","[0.78,0.78,0.83]",-,0.7,0.25
pi,13,14,0.17093,0.34802,0,1,0,Inf,Inf,Inf,Inf,1.570796327,"[0.58,0.69]","[0.83,0.77]",-,0.75,0.35
two_winding_transformer,4,7,0,0.20912,0,0.978,0,Inf,Inf,Inf,Inf,1.570796327,,,oo-,0.85,0.55
two_winding_transformer,4,9,0,0.55618,0,0.969,0,Inf,Inf,Inf,Inf,1.570796327,,,oo-,0.35,0.45
two_winding_transformer,5,6,0,0.25202,0,0.932,0,Inf,Inf,Inf,Inf,1.570796327,,,oo-,0.5,0.32
two_winding_transformer,7,8,0,0.17615,0,1,0,Inf,Inf,Inf,Inf,1.570796327,[0.83],[0.655],oo-,0.8,0.5
