Tag,V,Varg,baseKV,baseMVA,Vmin,Vmax,Gshunt,Bshunt,Xaxis,Yaxis,Marker
B,1.06,0,230,100,0.5,1.5,0,0,0.14,0.56,_0.1
B,1.045,0,230,100,0.5,1.5,0,0,0.34,0.28,_0.13
B,1.01,0,230,100,0.5,1.5,0,0,0.75,0.19,_0.07
B,1,0,230,100,0.5,1.5,0,0,0.72,0.55,_0.12
B,1,0,230,100,0.5,1.5,0,0,0.53,0.475,_0.06
B,1.07,0,230,100,0.5,1.5,0,0,0.53,0.605,_0.09
B,1,0,230,100,0.5,1.5,0,0,0.8,0.625,_0.04
B,1.09,0,230,100,0.5,1.5,0,0,0.9,0.625,|0.06
B,1,0,230,100,0.5,1.5,0,0.19,0.695,0.68,_0.16
B,1,0,230,100,0.5,1.5,0,0,0.67,0.72,_0.06
B,1,0,230,100,0.5,1.5,0,0,0.585,0.74,_0.06
B,1,0,230,100,0.5,1.5,0,0,0.36,0.8,_0.07
B,1,0,230,100,0.5,1.5,0,0,0.52,0.85,_0.08
B,1,0,230,100,0.5,1.5,0,0,0.665,0.805,_0.07
