Bus,P,Q,baseMVA,Pmin,Pmax,Qmin,Qmax,Xaxis,Yaxis,Marker,MidXaxis,MidYaxis,ParameterID,OpfID
2,-0.217,0.127,100,#NAME?,Inf,#NAME?,Inf,0.31,0.25,<,[0.36],[0.25],1,1
3,-0.942,0.19,100,#NAME?,Inf,#NAME?,Inf,0.88,0.16,>,[0.80],[0.16],2,1
4,-0.478,0.039,100,#NAME?,Inf,#NAME?,Inf,0.87,0.52,>,[0.83],[0.52],3,1
5,-0.076,0.016,100,#NAME?,Inf,#NAME?,Inf,0.5,0.5,<,[0.545],[0.5],4,1
6,-0.112,0.075,100,#NAME?,Inf,#NAME?,Inf,0.66,0.63,>,[0.605],[0.63],5,1
7,0,0,100,#NAME?,Inf,#NAME?,Inf,0.84,0.6,v,,,6,1
9,-0.295,0.166,100,#NAME?,Inf,#NAME?,Inf,0.9,0.7,>,[0.84],[0.7],7,1
10,-0.09,0.058,100,#NAME?,Inf,#NAME?,Inf,0.7,0.74,^,,,8,1
11,-0.035,0.018,100,#NAME?,Inf,#NAME?,Inf,0.61,0.76,^,,,9,1
12,-0.061,0.016,100,#NAME?,Inf,#NAME?,Inf,0.4,0.84,^,,,10,1
13,-0.135,0.058,100,#NAME?,Inf,#NAME?,Inf,0.56,0.89,^,,,11,1
14,-0.149,0.05,100,#NAME?,Inf,#NAME?,Inf,0.7,0.84,^,,,12,1
