Type,From,To,R,X,C,Tap,Phase,Smax,Imax,Pmax,Qmax,Vargmax
pi,3,4,0.00019,0.0059,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,3,5,0.00054,0.0223,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,3,17,0.00046,0.0197,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,3,30,0.00058,0.0176,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,4,5,0.00056,0.0173,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,5,17,0.00067,0.0171,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,5,27,0.00013,0.0042,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,5,28,0.00034,0.0198,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,5,29,0.00122,0.0255,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,6,20,0.00066,0.013,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,6,22,0.00045,0.011,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,6,23,0.00031,0.0084,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,7,18,0.00127,0.027,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,7,20,0.00082,0.0102,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,7,21,0.00022,0.0199,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,8,11,0.00034,0.0123,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,9,10,0.00175,0.0237,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,10,11,0.00036,0.0018,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,11,12,0.0003,0.0109,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,12,13,0.00108,0.0398,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,12,16,0.0013,0.0288,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,13,14,0.00035,0.0457,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,14,15,0.00016,0.0348,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,15,19,0.0007,0.0275,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,16,18,0.0008,0.0125,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,18,19,0.00063,0.0044,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,23,24,0.0002,0.0353,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,24,25,0.00054,0.0072,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,25,26,0.0004,0.0242,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,26,27,0.00137,0.0196,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
pi,30,31,0.0009,0.0147,0,1,0,Inf,Inf,Inf,Inf,1.5707963267949
two_winding_transformer,1,5,0,0.10912,0,0.978,0,Inf,Inf,Inf,Inf,1.5707963267949
two_winding_transformer,2,6,0,0.05618,0,0.969,0,Inf,Inf,Inf,Inf,1.5707963267949
two_winding_transformer,22,6,0,0.15202,0,0.932,0,Inf,Inf,Inf,Inf,1.5707963267949
