Bus,P,Q,ParameterID,OpfID
3,-0.117,0.127,1,1
4,-0.142,0.19,2,1
5,0,0,3,1
6,-0.278,0.039,4,1
7,-0.076,0.016,5,1
8,-0.052,0.075,6,1
9,-0.295,0.166,7,1
10,-0.09,0.058,8,1
11,-0.035,0.018,9,1
12,-0.061,0.016,10,1
13,-0.135,0.058,11,1
14,-0.149,0.05,12,1
15,-0.035,0.018,13,1
16,-0.061,0.016,14,1
17,-0.135,0.058,15,1
18,-0.149,0.05,16,1
19,-0.135,0.018,17,1
20,-0.061,0.016,18,1
21,-0.135,0.058,19,1
22,-0.149,0.05,20,1
23,-0.235,0.018,21,1
24,-0.061,0.016,22,1
25,-0.135,0.058,23,1
26,-0.149,0.05,24,1
27,-0.135,0.018,25,1
28,-0.061,0.016,26,1
29,-0.135,0.058,27,1
30,-0.149,0.05,28,1
31,-0.085,0.04,29,1
