No_bus,Kpss,Tpss,TL1p,TL1,TL2p,TL2,ID
1,250,10,0.07,0.02,0.07,0.02,1
2,250,10,0.07,0.02,0.07,0.02,2
3,250,10,0.07,0.02,0.07,0.02,3
4,250,10,0.07,0.02,0.07,0.02,4
5,250,10,0.07,0.02,0.07,0.02,5
6,250,10,0.07,0.02,0.07,0.02,6
7,250,10,0.07,0.02,0.07,0.02,7
8,250,10,0.07,0.02,0.07,0.02,8
9,250,10,0.07,0.02,0.07,0.02,9
10,250,10,0.07,0.02,0.07,0.02,10
11,250,10,0.07,0.02,0.07,0.02,11
12,250,10,0.07,0.02,0.07,0.02,12
13,250,10,0.07,0.02,0.07,0.02,13
14,250,10,0.07,0.02,0.07,0.02,14
15,250,10,0.07,0.02,0.07,0.02,15
16,250,10,0.07,0.02,0.07,0.02,16
